"V1","V2","V3","V4","V5","V6"
0,4,7,7,7,6
0,4,7,7,7,6
0,4,7,7,7,6
0,4,7,7,7,6
0,5,6,8,5,7
0,5,6,8,5,7
0,5,6,8,5,7
0,5,6,8,5,7
0,5,6,7,7,7
0,5,6,7,7,7
0,5,6,7,7,7
0,5,6,7,7,7
0,5,6,7,5,8
0,5,6,7,5,8
0,5,6,8,5,8
0,5,6,8,5,8
